"Detenteur de la position courte nette";"Legal Entity Identifier detenteur";"Emetteur / issuer";"Ratio";"code ISIN";"Date de debut position";"Date de debut de publication position";"Date de fin de publication position"
"12 WEST CAPITAL MANAGEMENT LP";"549300CTKKI0FKNCD259";"UBISOFT ENTERTAINMENT";"0.35";"FR0000054470";"2015-10-06";"2015-10-07";"2015-10-08"
"12 WEST CAPITAL MANAGEMENT LP";"549300CTKKI0FKNCD259";"UBISOFT ENTERTAINMENT";"1.17";"FR0000054470";"2015-10-05";"2015-10-06";"2015-10-08"
"12 WEST CAPITAL MANAGEMENT LP";"549300CTKKI0FKNCD259";"UBISOFT ENTERTAINMENT";"0.89";"FR0000054470";"2015-09-30";"2015-10-06";"2015-10-08"
"12 WEST CAPITAL MANAGEMENT LP";"549300CTKKI0FKNCD259";"UBISOFT ENTERTAINMENT";"1.08";"FR0000054470";"2015-10-02";"2015-10-06";"2015-10-08"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.38";"FR0010331421";"2014-05-28";"2014-05-29";"2014-05-30"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.52";"FR0010331421";"2014-05-27";"2014-05-28";"2014-05-30"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.44";"FR0010331421";"2014-05-22";"2014-05-23";"2014-05-26"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.62";"FR0010331421";"2014-05-21";"2014-05-22";"2014-05-26"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.53";"FR0010331421";"2014-05-20";"2014-05-21";"2014-05-26"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.47";"FR0010331421";"2014-05-16";"2014-05-17";"2014-05-19"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.53";"FR0010331421";"2014-05-14";"2014-05-15";"2014-05-19"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"ALCATEL LUCENT";"0.0";"FR0000130007";"2013-12-09";"2016-01-23";"2016-01-25"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"ALCATEL LUCENT";"0.52";"FR0000130007";"2013-11-28";"2013-11-29";"2016-01-25"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"ALTRAN TECHNOLOGIES";"0.0";"FR0000034639";"2018-04-18";"2018-04-19";"2018-04-20"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"ALTRAN TECHNOLOGIES";"0.5";"FR0000034639";"2018-04-05";"2018-04-06";"2018-04-20"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"FNAC DARTY";"0.38";"FR0011476928";"2013-06-28";"2013-07-01";"2013-07-02"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"FNAC DARTY";"0.55";"FR0011476928";"2013-06-27";"2013-06-28";"2013-07-02"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"PARROT";"0.02";"FR0004038263";"2015-12-15";"2015-12-17";"2015-12-18"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"PARROT";"0.91";"FR0004038263";"2015-12-14";"2015-12-15";"2015-12-18"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"PARROT";"0.88";"FR0004038263";"2015-12-02";"2015-12-04";"2015-12-18"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"PARROT";"0.95";"FR0004038263";"2015-11-27";"2015-11-30";"2015-12-18"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"PARROT";"0.51";"FR0004038263";"2015-11-25";"2015-11-27";"2015-12-18"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"PARROT";"0.86";"FR0004038263";"2015-11-26";"2015-11-27";"2015-12-18"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"PUBLICIS GROUPE SA";"0.01";"FR0000130577";"2013-09-25";"2016-01-23";"2016-01-25"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"PUBLICIS GROUPE SA";"0.81";"FR0000130577";"2013-09-20";"2013-09-23";"2016-01-25"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"PUBLICIS GROUPE SA";"0.7";"FR0000130577";"2013-08-30";"2013-09-02";"2016-01-25"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"PUBLICIS GROUPE SA";"0.6";"FR0000130577";"2013-08-27";"2013-08-28";"2016-01-25"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"PUBLICIS GROUPE SA";"0.52";"FR0000130577";"2013-08-22";"2013-08-23";"2016-01-25"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"UBISOFT ENTERTAINMENT";"0.3";"FR0000054470";"2013-07-22";"2013-07-23";"2013-07-24"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"UBISOFT ENTERTAINMENT";"1.0";"FR0000054470";"2013-07-08";"2013-07-09";"2013-07-24"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"UBISOFT ENTERTAINMENT";"0.9";"FR0000054470";"2013-06-18";"2013-06-19";"2013-07-24"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"UBISOFT ENTERTAINMENT";"0.81";"FR0000054470";"2013-05-29";"2013-05-30";"2013-07-24"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"UBISOFT ENTERTAINMENT";"0.51";"FR0000054470";"2013-05-28";"2013-05-29";"2013-07-24"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"ARKEMA";"0.33";"FR0010313833";"2016-10-05";"2016-10-06";"2016-10-07"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"ARKEMA";"0.52";"FR0010313833";"2016-09-12";"2016-09-13";"2016-10-07"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"CELLECTIS";"0.8";"FR0010425595";"2023-11-16";"2023-11-17";""
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"CELLECTIS";"0.69";"FR0010425595";"2023-11-14";"2023-11-15";""
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"CELLECTIS";"0.58";"FR0010425595";"2023-11-07";"2023-11-08";""
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"CELLECTIS";"0.61";"FR0010425595";"2023-11-02";"2023-11-03";""
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"CELLECTIS";"0.52";"FR0010425595";"2023-01-18";"2023-01-19";""
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"CELLECTIS";"0.39";"FR0010425595";"2022-11-29";"2022-11-30";"2022-12-01"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"CELLECTIS";"0.54";"FR0010425595";"2022-11-23";"2022-11-24";"2022-12-01"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"CELLECTIS";"0.67";"FR0010425595";"2022-11-18";"2022-11-21";"2022-12-01"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"CELLECTIS";"0.75";"FR0010425595";"2022-11-17";"2022-11-18";"2022-12-01"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"CELLECTIS";"0.83";"FR0010425595";"2022-03-11";"2022-03-14";"2022-12-01"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"CELLECTIS";"0.73";"FR0010425595";"2022-02-23";"2022-02-24";"2022-12-01"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"CELLECTIS";"0.63";"FR0010425595";"2022-02-22";"2022-02-23";"2022-12-01"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"CELLECTIS";"0.55";"FR0010425595";"2022-02-18";"2022-02-21";"2022-12-01"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"FORVIA";"0.48";"FR0000121147";"2020-03-04";"2020-03-05";"2020-03-06"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"FORVIA";"0.54";"FR0000121147";"2020-02-28";"2020-02-29";"2020-03-06"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"PEUGEOT S.A.";"0.23";"FR0000121501";"2013-12-19";"2013-12-21";"2013-12-23"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"PEUGEOT S.A.";"0.6";"FR0000121501";"2013-10-10";"2013-10-11";"2013-12-23"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"PEUGEOT S.A.";"0.58";"FR0000121501";"2013-10-08";"2013-10-10";"2013-12-23"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"PEUGEOT S.A.";"0.71";"FR0000121501";"2013-05-28";"2013-05-29";"2013-12-23"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"PEUGEOT S.A.";"0.6";"FR0000121501";"2013-05-15";"2013-05-17";"2013-12-23"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"PEUGEOT S.A.";"0.5";"FR0000121501";"2013-04-24";"2013-04-25";"2013-12-23"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.36";"FR0000120354";"2016-01-26";"2016-01-27";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.58";"FR0000120354";"2016-01-21";"2016-01-22";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.95";"FR0000120354";"2016-01-12";"2016-01-13";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"1.06";"FR0000120354";"2016-01-11";"2016-01-12";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"1.29";"FR0000120354";"2016-01-08";"2016-01-09";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"1.54";"FR0000120354";"2016-01-07";"2016-01-08";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"1.76";"FR0000120354";"2015-12-18";"2015-12-19";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"2.05";"FR0000120354";"2015-12-15";"2015-12-16";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"2.13";"FR0000120354";"2015-12-14";"2015-12-15";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"2.39";"FR0000120354";"2015-11-10";"2015-11-11";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"2.54";"FR0000120354";"2015-11-04";"2015-11-05";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"2.31";"FR0000120354";"2015-10-23";"2015-10-24";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"2.24";"FR0000120354";"2015-10-22";"2015-10-23";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"2.16";"FR0000120354";"2015-10-15";"2015-10-16";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"2.01";"FR0000120354";"2015-10-14";"2015-10-15";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"1.94";"FR0000120354";"2015-10-09";"2015-10-10";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"1.72";"FR0000120354";"2015-10-07";"2015-10-08";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"1.64";"FR0000120354";"2015-10-06";"2015-10-07";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"1.57";"FR0000120354";"2015-10-05";"2015-10-07";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"1.42";"FR0000120354";"2015-10-02";"2015-10-03";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"1.34";"FR0000120354";"2015-10-01";"2015-10-02";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.89";"FR0000120354";"2015-09-30";"2015-10-01";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.52";"FR0000120354";"2015-09-29";"2015-09-30";"2016-01-28"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.37";"FR0000120354";"2015-09-10";"2015-09-11";"2015-09-14"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.52";"FR0000120354";"2015-08-27";"2015-08-28";"2015-09-14"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.49";"FR0000120354";"2015-08-05";"2015-08-06";"2015-08-07"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.68";"FR0000120354";"2015-08-04";"2015-08-05";"2015-08-07"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.75";"FR0000120354";"2015-07-31";"2015-08-03";"2015-08-07"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.95";"FR0000120354";"2015-07-30";"2015-07-31";"2015-08-07"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.66";"FR0000120354";"2015-07-29";"2015-07-30";"2015-08-07"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.44";"FR0000120354";"2015-07-07";"2015-07-08";"2015-07-09"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.67";"FR0000120354";"2015-06-17";"2015-06-18";"2015-07-09"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.79";"FR0000120354";"2015-06-12";"2015-06-15";"2015-07-09"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.88";"FR0000120354";"2015-06-09";"2015-06-10";"2015-07-09"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.93";"FR0000120354";"2015-06-05";"2015-06-08";"2015-07-09"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.89";"FR0000120354";"2015-05-26";"2015-05-27";"2015-07-09"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.91";"FR0000120354";"2015-05-19";"2015-05-20";"2015-07-09"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.84";"FR0000120354";"2015-05-15";"2015-05-18";"2015-07-09"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.76";"FR0000120354";"2015-05-04";"2015-05-05";"2015-07-09"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.8";"FR0000120354";"2015-04-08";"2015-04-09";"2015-07-09"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.77";"FR0000120354";"2015-04-07";"2015-04-08";"2015-07-09"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.46";"FR0000120354";"2013-02-04";"2013-02-05";"2013-02-06"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.56";"FR0000120354";"2013-01-15";"2013-01-16";"2013-02-06"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.3";"FR0000120354";"2012-12-05";"2013-01-05";"2013-01-07"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.61";"FR0000120354";"2013-01-02";"2013-01-04";"2013-02-06"
"ADAGE CAPITAL MANAGEMENT, L.P.";"5493001H46UI6IMAZE58";"VALLOUREC";"0.54";"FR0000120354";"2012-12-21";"2012-12-31";"2013-02-06"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"KLEPIERRE";"0.48";"FR0000121964";"2022-01-06";"2022-01-07";"2022-01-10"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"KLEPIERRE";"0.54";"FR0000121964";"2022-01-04";"2022-01-05";"2022-01-10"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"KLEPIERRE";"0.6";"FR0000121964";"2021-07-19";"2021-07-20";"2022-01-10"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"KLEPIERRE";"0.46";"FR0000121964";"2020-12-04";"2020-12-07";"2020-12-08"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"KLEPIERRE";"0.59";"FR0000121964";"2020-11-25";"2020-11-26";"2020-12-08"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"KLEPIERRE";"0.64";"FR0000121964";"2020-11-24";"2020-11-25";"2020-12-08"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"KLEPIERRE";"0.78";"FR0000121964";"2020-09-25";"2020-09-28";"2020-12-08"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"KLEPIERRE";"0.66";"FR0000121964";"2020-08-07";"2020-08-10";"2020-12-08"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"KLEPIERRE";"0.52";"FR0000121964";"2020-06-19";"2020-06-22";"2020-12-08"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"QUADIENT S.A.";"0.37";"FR0000120560";"2015-08-26";"2015-08-27";"2015-08-28"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"QUADIENT S.A.";"1.02";"FR0000120560";"2014-06-02";"2014-06-04";"2015-08-28"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"QUADIENT S.A.";"0.98";"FR0000120560";"2013-09-23";"2013-09-24";"2015-08-28"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"QUADIENT S.A.";"0.89";"FR0000120560";"2013-04-04";"2013-05-15";"2015-08-28"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"QUADIENT S.A.";"1.03";"FR0000120560";"2013-05-02";"2013-05-03";"2015-08-28"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"QUADIENT S.A.";"0.85";"FR0000120560";"2012-11-01";"2013-01-03";"2015-08-28"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"QUADIENT S.A.";"0.97";"FR0000120560";"2012-12-17";"2013-01-03";"2015-08-28"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"QUADIENT S.A.";"1.02";"FR0000120560";"2012-12-31";"2013-01-03";"2015-08-28"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"QUADIENT S.A.";"1.11";"FR0000120560";"2013-01-02";"2013-01-03";"2015-08-28"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOCIETE BIC";"0.26";"FR0000120966";"2020-03-20";"2020-03-23";"2020-03-24"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOCIETE BIC";"0.61";"FR0000120966";"2020-01-31";"2020-02-03";"2020-03-24"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOCIETE BIC";"0.44";"FR0000120966";"2019-11-13";"2019-11-14";"2019-11-15"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOCIETE BIC";"0.57";"FR0000120966";"2019-11-06";"2019-11-07";"2019-11-15"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOCIETE BIC";"0.66";"FR0000120966";"2019-10-15";"2019-10-16";"2019-11-15"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOCIETE BIC";"0.57";"FR0000120966";"2019-02-05";"2019-02-06";"2019-11-15"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOCIETE BIC";"0.67";"FR0000120966";"2019-02-01";"2019-02-04";"2019-11-15"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOCIETE BIC";"0.73";"FR0000120966";"2018-09-07";"2018-09-10";"2019-11-15"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOCIETE BIC";"0.62";"FR0000120966";"2018-03-02";"2018-03-05";"2019-11-15"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOCIETE BIC";"0.51";"FR0000120966";"2018-02-22";"2018-02-23";"2019-11-15"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLOCAL GROUP";"0.49";"FR0010096354";"2014-06-06";"2014-06-09";"2014-06-10"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLOCAL GROUP";"1.87";"FR0010096354";"2013-11-20";"2013-11-21";"2014-06-10"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLOCAL GROUP";"1.6";"FR0010096354";"2013-11-19";"2013-11-20";"2014-06-10"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLOCAL GROUP";"1.51";"FR0010096354";"2013-11-13";"2013-11-15";"2014-06-10"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLOCAL GROUP";"1.13";"FR0010096354";"2013-10-02";"2013-10-03";"2014-06-10"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLOCAL GROUP";"0.98";"FR0010096354";"2013-05-03";"2013-05-06";"2014-06-10"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLOCAL GROUP";"0.74";"FR0010096354";"2012-11-01";"2013-01-03";"2014-06-10"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLOCAL GROUP";"0.84";"FR0010096354";"2012-12-17";"2013-01-03";"2014-06-10"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLUTIONS 30 SE";"0.0";"FR0013379484";"2022-04-04";"2022-04-05";"2022-04-06"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLUTIONS 30 SE";"0.94";"FR0013379484";"2022-04-01";"2022-04-04";"2022-04-06"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLUTIONS 30 SE";"1.13";"FR0013379484";"2022-01-12";"2022-01-13";"2022-04-06"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLUTIONS 30 SE";"0.82";"FR0013379484";"2022-01-11";"2022-01-12";"2022-04-06"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLUTIONS 30 SE";"0.7";"FR0013379484";"2021-12-02";"2021-12-03";"2022-04-06"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLUTIONS 30 SE";"0.62";"FR0013379484";"2021-12-01";"2021-12-02";"2022-04-06"
"ADELPHI CAPITAL LLP";"549300LNYKT3CP3PML94";"SOLUTIONS 30 SE";"0.5";"FR0013379484";"2021-01-15";"2021-01-18";"2022-04-06"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"0.42";"FR0000131708";"2016-09-23";"2016-09-26";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"0.59";"FR0000131708";"2016-08-19";"2016-08-22";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"0.69";"FR0000131708";"2016-08-11";"2016-08-12";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"0.75";"FR0000131708";"2016-07-21";"2016-07-25";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"0.98";"FR0000131708";"2016-07-13";"2016-07-15";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"1.07";"FR0000131708";"2016-05-19";"2016-05-20";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"0.91";"FR0000131708";"2016-04-19";"2016-04-20";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"1.03";"FR0000131708";"2016-04-07";"2016-04-08";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"1.27";"FR0000131708";"2016-03-17";"2016-03-18";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"1.36";"FR0000131708";"2016-03-01";"2016-03-03";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"1.46";"FR0000131708";"2015-09-15";"2015-09-16";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"1.27";"FR0000131708";"2015-09-14";"2015-09-15";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"1.1";"FR0000131708";"2015-09-11";"2015-09-14";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"1.02";"FR0000131708";"2015-09-11";"2015-09-11";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"0.74";"FR0000131708";"2015-09-09";"2015-09-10";"2016-09-27"
"AFFM S.A.";"2221009AB8S6I2B2QQ47";"TECHNIP";"0.64";"FR0000131708";"2015-09-08";"2015-09-09";"2016-09-27"
